date,cpi_general,cpi_food,cpi_fuel,cpi_core,cpi_general_yoy,cpi_food_yoy,cpi_fuel_yoy,cpi_core_yoy,core_trend
2024-01-01,185.5,190.1,180.9,86.70943000000001,5.099150141643061,7.583474816072444,-0.6043956043956022,3.532918394962969,4.053522617448627
2024-02-01,185.8,190.3,180.7,86.93149000000001,5.090497737556565,7.757644394110996,-0.7688083470620555,3.3796466529257607,3.9876200568903295
2024-03-01,185.8,190.7,175.8,87.07531000000002,4.853273137697522,7.740112994350268,-3.353490929081915,3.2672417432753287,3.9217711013247345
2024-04-01,186.7,191.9,174.4,87.52098999999998,4.828747894441321,7.8695896571107316,-4.017611447440828,3.180717119093024,3.859882847119339
2024-05-01,187.7,193.2,176.1,87.81457999999999,4.801786711334444,7.872696817420421,-3.665207877461718,3.066106634113508,3.8050782098690292
2024-06-01,190.2,198.4,176.3,87.92849999999999,5.082872928176796,8.35608956854179,-3.608529250956805,3.117344567565272,3.7582602692843463
2024-07-01,193.0,203.3,176.0,88.51261000000001,3.596349973161561,5.064599483204146,-5.477980665950588,3.396506023068957,3.7180438393644986
2024-08-01,193.0,202.7,176.7,88.73977000000001,3.651987110633725,5.298701298701292,-5.254691689008051,3.256197395084004,3.6852251563842953
2024-09-01,194.2,204.8,176.9,88.96821999999997,5.4861488321564345,8.359788359788368,-1.3385387618516489,3.5502488887067862,3.6693071957882495
2024-10-01,196.8,209.4,176.8,89.47590000000001,6.206152185644909,9.690937663698262,-1.6685205784204626,3.779098595241237,3.684126468808694
2024-11-01,196.5,208.4,176.6,89.64552,5.475040257648955,8.203530633437172,-1.83435241801001,3.71403898963476,3.727083547156589
2024-12-01,195.4,205.9,177.8,89.60635,5.223478729133024,7.688284518828459,-1.3318534961154094,3.646130456246643,3.783935957421076
2025-01-01,193.4,200.9,178.2,89.86121,4.258760107816717,5.681220410310361,-1.49253731343284,3.634875699217477,3.8434511132185842
2025-02-01,192.5,197.6,178.3,90.46034,3.606027987082872,3.836048344718845,-1.3281682346430457,4.059346043648837,3.902995999490392
2025-03-01,192.0,196.2,178.3,90.59916,3.336921420882666,2.884111169375992,1.4220705346985163,4.046899172681662,3.9629597313022566
2025-04-01,192.6,196.0,179.5,91.2105,3.160149973219073,2.1365294424179337,2.924311926605494,4.215571601738066,4.023214135070232
2025-05-01,193.0,196.1,181.1,91.45831,2.823654768247219,1.5010351966873836,2.8392958546280544,4.1493451315260055,4.083632326255522
2025-06-01,194.2,198.1,180.8,91.76569,2.103049421661418,-0.1512096774193616,2.552467385138968,4.363988922817974,4.144155138524589
2025-07-01,196.1,201.6,180.7,92.0753,1.6062176165803077,-0.8362026561731462,2.670454545454537,4.025064903181574,4.20477264685941
2025-08-01,197.0,202.8,180.8,92.42108,2.0725388601036343,0.049333991119882,2.320316921335608,4.148433109529126,4.265492376905313
2025-09-01,197.0,202.0,180.4,92.81276,1.4418125643666402,-1.3671875,1.9785189372526928,4.3212508916105286,4.326315041919004
2025-10-01,197.3,201.6,180.3,93.30194000000002,0.2540650406503975,-3.724928366762181,1.9796380090497667,4.276056457660671,4.387226306735245
2025-11-01,197.9,202.6,180.7,93.419,0.7124681933842192,-2.7831094049904137,2.321630804077013,4.209334721913605,4.448215884580449
2025-12-01,198.0,202.1,181.3,93.70719,1.3306038894575156,-1.845556095191847,1.9685039370078703,4.576506017709692,4.50931403571048
